from ,to ,type 
ab,aaw,3
ab,aaw,2
ab,aaw,1
ab,as3,1
ab,as3,2
ab,au,1
ab,au,2
ab,au,3
ab2,sp,3
adrh,s2,3
adrh,s2,1
ae,bi,2
ae,bi,3
aet,l,3
aet,l,2
aet,l,1
af,ihp,3
af2,nv,2
af2,nv,3
af3,udw,1
af3,udw,2
ag,benz,3
ag2,asmuw,1
ag2,asmuw,2
ag2,asmuw,3
agbo,glo,2
agbo,glo,3
aj,im,3
ajh,shm,2
ajh,shm,3
ak,dlmn,1
ak2,sm,1
ak3,iir,2
akk,bh,3
akk,bh,2
al,kri,3
al2,bms,3
am,sm,3
am,sm,2
am1,amg2,3
am2,sal,2
am3,emdl,3
am4,nr1,1
am4,nr1,2
am4,nr1,3
an,sg1,1
apr,h1,3
ar,bv,3
ar,sn,3
as,eudw,3
as1,hl,2
as1,hl,3
as2,to2,1
as4,limr,1
asm,b,3
asm,b,2
asm,b,1
at,dior,3
at,h2,3
at,k2,3
avh,udw,3
avh,udw,1
aw,limr,1
az,80m,3
az,80m,2
az,rlap,2
az,rlap,3
bb,gl,2
bb1,snl,1
bb1,snl,2
bb1,snl,3
bc2,pic,2
bc2,pic,3
bc2,pic,1
bc3,hii,1
bf,dli,3
bf,dli,2
bf,dog,3
bf,dog,2
bf,sen,3
bf,sen,2
bf,sex,2
bf,sex,3
bg,im,2
bg,im,1
bki,bh,3
bki,bh,2
bt,hii,2
bush,fea,1
bush,fea,2
bush,h,1
bush,h,3
bush,h,2
bush,in,1
bush,in,2
bush,meph,1
bush,meph,2
bush,meph,3
ca1,mc1,1
ca1,mc1,2
ca1,ig,2
ca1,zoey,1
ca1,zoey,2
cag,benz,3
cas,bh,1
cb,tr4,3
cc,r,3
cc,r,2
ccr,as3,3
ccr,eds,3
cd,c2,2
cd,c2,3
ce,sta,3
cf,uul,1
cf,wbes,1
cg,bi,2
cg,bi,3
ch,z,3
cm,awdem,3
cm2,rlap,2
cm2,rlap,3
cn,gl,3
cn,gl,2
cn,gl,1
cn,nv,2
cn,nv,3
cn,nv,1
cr,gl,3
cr,gl,2
cr2,sd2,3
cr2,sd2,2
cr2,sd2,1
ct,ca,1
ct,ca,2
ct,tt,1
ct,tt,2
cw,badc,1
cw,badc,2
cw,badc,3
cw,by,1
cw,by,2
cw,by,3
cw,eudw,3
cw,eudw,2
cw,eudw,1
cw,tr4,1
cw,tr4,2
cw,w2,1
cw,w2,2
cw,w2,3
cysm,sta,3
da,ne,3
dab,pf,3
dac,e,1
dac,e,2
dah,ig,2
db,hl,2
db,hl,3
db,ok1,2
db,ok1,3
db,sal,3
db,sal,2
db,sml,3
db,sml,2
db1,gm3,3
db1,gm3,2
db1,hb2,2
db1,hb2,3
db1,homh,2
db1,homh,3
db1,koe,2
db1,koe,3
db1,ll,2
db1,ll,3
dc,a,2
dc,k,3
dc,k,2
dc,omg,2
dc,omg,3
dc2,k2,3
df,wsdb,3
dg,gl,3
dg,gl,2
dg,gl,1
dg,nv,2
dg,nv,3
dg,nv,1
dg2,sal,3
dg2,sal,1
dg3,awdem,1
dg3,awdem,2
dg3,awdem,3
dg3,zzg,1
dg3,zzg,2
dg3,zzg,3
dg4,jidtl,2
