t,name,kuenstlername,type ,sex ,genre ,date,dauer,sprache
5ps,500 PS,99,1,4,1,6,55,1
5s,5 Songs in einer Nacht,99,1,4,1,6,21,1
80m,80 Millionen,99,1,4,3,4,38,1
a,Augenbling,99,1,4,1,1,37,1
aaw,Auf anderen Wegen,99,1,4,3,3,53,1
ab,Andreas Bourani ,Andreas Bourani,2,2,6,7,999,3
ab2,Alexander Busse,Alexander Busse,2,2,6,7,999,3
acht,Achterbahn,99,1,4,2,5,14,1
addn,Atemlos durch die Nacht,99,1,4,2,2,999,1
adrh,Adrian David Rolf Held,Klangkarussel,2,2,6,7,999,3
ae,Axel Mikael Ehnstroem,Axel Mikael Ehnstroem,2,2,6,7,999,3
aet,Adel El Tawil,Adel Tawil,2,2,6,7,999,3
af,Andreas Fabritius,Andreas Fabritius,2,2,6,7,999,3
af2,Alexander Freund,Alexander Freund,2,2,6,7,999,3
af3,Andreas Frege,Campino,2,2,6,7,999,3
ag,Adulis Ghebreyesus,Adulis Ghebreyesus,2,2,6,7,999,3
ag2,Andreas Gabalier,Andreas Gabalier,2,2,6,7,999,3
agbo,Andres Gunnar Ballinas Olsson,Andres Gunnar Ballinas Olsson,2,2,6,7,999,3
ahn,Ahnma,99,1,4,1,4,39,1
aiv,An ihnen vorbei,99,1,4,1,4,18,1
aj,Andreas Janetschko,Dj Stickle,2,2,6,7,999,3
ajh,Andreas Josef Huber,Andreas Huber,2,2,6,7,999,3
ak,Samuel Shari Aaliah Adomako,Ado Kojo,2,2,6,7,999,3
ak2,Andreas Kuemmert,Andreas Kuemmert,2,2,6,7,999,3
ak3,Adam Kesselhaut,Adam Kesselhaut,2,2,6,7,999,3
akk,Amy Kathryn Kuney ,Amy Kathryn Kuney,2,1,6,7,999,3
al,Ardijan Luboja,Ardijan Luboja,2,2,6,7,999,3
al2,Alexander Laios,Alexander Laios,2,2,6,7,999,3
all,Allein,99,1,4,1,6,15,1
am,Andrew Murray,Andrew Murray,2,2,6,7,999,3
am1,Alexander Müller,Alexander Müller,2,2,6,7,999,3
am2,Ammar Malik,Ammar Malik,2,2,6,7,999,3
am3,Andreas Mette,Andreas Mette,2,2,6,7,999,3
am4,Alice Merton,Alice Merton,2,1,6,7,999,3
amg2,amg2,99,1,4,1,5,12,1
an,Anna Naklab ,Anna Naklab,2,1,6,7,999,3
anlmb,Ain't nobody (loves me better),99,1,4,4,3,56,2
apap,Applaus Applaus,99,1,4,3,1,39,1
